2013/03/15,10:41:13,14,"Mark Webber"
2013/03/15,06:23:55,12,"Mark Webber"
2013/03/15,03:15:34,14,"Mark Webber"
2013/03/15,03:15:29,16,"Mark Webber"
2013/03/03,10:49:30,18,"Mark Webber"
2013/03/02,16:28:40,20,"Mark Webber"
2013/02/09,21:04:08,18,"Mark Webber"
2012/11/26,12:58:14,16,"Mark Webber"
2012/11/25,19:14:46,14,"Mark Webber"
2013/03/15,10:41:39,5000,"Max Chilton"
2013/03/03,10:51:56,3000,"Max Chilton"
2013/02/14,09:06:58,2500,"Max Chilton"
2013/04/14,10:09:23,1500,"Nico Hulkenberg"
2013/03/17,08:57:23,1000,"Nico Hulkenberg"
2013/03/15,07:38:01,500,"Nico Hulkenberg"
2013/03/11,13:38:29,200,"Nico Hulkenberg"
2013/03/07,16:21:45,250,"Nico Hulkenberg"
2013/03/03,10:51:38,200,"Nico Hulkenberg"
2013/02/14,09:02:00,150,"Nico Hulkenberg"
2013/02/09,21:04:39,125,"Nico Hulkenberg"
2013/02/07,14:33:12,100,"Nico Hulkenberg"
2013/01/03,20:52:13,80,"Nico Hulkenberg"
2012/11/25,19:14:46,66,"Nico Hulkenberg"
2013/09/22,15:45:49,750,"Nico Rosberg"
2013/09/22,15:20:51,500,"Nico Rosberg"
2013/09/21,15:12:00,300,"Nico Rosberg"
2013/09/08,15:53:41,500,"Nico Rosberg"
2013/09/08,14:49:02,500,"Nico Rosberg"
2013/09/07,14:11:12,250,"Nico Rosberg"
2013/09/06,10:55:43,200,"Nico Rosberg"
2013/08/25,14:49:41,150,"Nico Rosberg"
2013/07/31,13:51:14,100,"Nico Rosberg"
2013/07/28,15:10:04,66,"Nico Rosberg"
2013/07/06,14:49:09,33,"Nico Rosberg"
2013/07/05,14:49:59,25,"Nico Rosberg"
2013/07/05,14:13:03,22,"Nico Rosberg"
2013/07/05,14:12:58,25,"Nico Rosberg"
2013/07/05,11:08:47,22,"Nico Rosberg"
2013/07/05,10:20:47,25,"Nico Rosberg"
2013/07/05,10:18:10,28,"Nico Rosberg"
2013/06/30,15:01:32,33,"Nico Rosberg"
2013/06/30,15:00:51,40,"Nico Rosberg"
2013/06/30,14:51:03,50,"Nico Rosberg"
2013/06/09,21:02:21,66,"Nico Rosberg"
2013/06/09,20:55:43,50,"Nico Rosberg"
2013/06/08,14:15:57,40,"Nico Rosberg"
2013/05/26,15:55:54,33,"Nico Rosberg"
2013/05/25,15:40:09,40,"Nico Rosberg"
2013/05/23,13:03:32,66,"Nico Rosberg"
2013/05/12,15:29:44,80,"Nico Rosberg"
2013/05/12,15:08:06,66,"Nico Rosberg"
2013/04/21,15:17:09,50,"Nico Rosberg"
2013/04/14,10:53:00,40,"Nico Rosberg"
2013/04/14,10:07:36,33,"Nico Rosberg"
2013/04/13,06:10:35,28,"Nico Rosberg"
2013/04/12,04:55:05,33,"Nico Rosberg"
2013/03/24,10:06:16,50,"Nico Rosberg"
2013/03/22,12:57:28,66,"Nico Rosberg"
2013/03/22,07:05:18,50,"Nico Rosberg"
2013/03/17,07:58:53,40,"Nico Rosberg"
2013/03/16,03:30:12,33,"Nico Rosberg"
2013/03/06,10:07:59,40,"Nico Rosberg"
2013/03/03,20:50:19,33,"Nico Rosberg"
2013/03/03,10:50:28,50,"Nico Rosberg"
2013/02/19,15:56:06,66,"Nico Rosberg"
2013/02/14,09:28:48,80,"Nico Rosberg"
2013/02/14,09:27:57,66,"Nico Rosberg"
2013/02/07,14:32:36,50,"Nico Rosberg"
2012/11/25,19:28:22,40,"Nico Rosberg"
2012/11/25,19:14:46,50,"Nico Rosberg"
2013/04/14,10:53:10,2500,"Pastor Maldonado"
2013/04/14,10:09:09,2000,"Pastor Maldonado"
2013/03/17,08:01:21,1000,"Pastor Maldonado"
2013/03/17,07:59:38,750,"Pastor Maldonado"
2013/03/15,07:37:58,500,"Pastor Maldonado"
2013/03/07,16:21:45,250,"Pastor Maldonado"
2013/03/03,10:51:18,200,"Pastor Maldonado"
2013/03/02,12:01:24,150,"Pastor Maldonado"
2013/02/20,09:05:49,100,"Pastor Maldonado"
2013/02/20,09:05:10,150,"Pastor Maldonado"
2013/02/15,16:52:53,200,"Pastor Maldonado"
2013/02/09,21:05:33,150,"Pastor Maldonado"
2013/02/07,14:59:23,100,"Pastor Maldonado"
2013/02/07,14:33:12,125,"Pastor Maldonado"
2013/01/03,20:52:13,100,"Pastor Maldonado"
2012/11/25,19:14:46,80,"Pastor Maldonado"
2013/04/21,15:22:34,1000,"Paul di Resta"
2013/04/14,10:09:06,1500,"Paul di Resta"
2013/03/17,08:57:32,1000,"Paul di Resta"
2013/03/17,08:02:15,500,"Paul di Resta"
2013/03/17,07:59:44,300,"Paul di Resta"
2013/03/15,07:37:55,500,"Paul di Resta"
2013/03/07,16:21:46,300,"Paul di Resta"
2013/03/03,10:50:41,250,"Paul di Resta"
2013/02/15,16:52:32,200,"Paul di Resta"
2013/02/14,09:02:44,150,"Paul di Resta"
2013/02/07,14:33:12,125,"Paul di Resta"
2013/01/03,20:52:13,100,"Paul di Resta"
2012/11/25,19:14:46,80,"Paul di Resta"
2013/05/12,15:29:22,300,"Romain Grosjean"
2013/04/21,15:24:24,150,"Romain Grosjean"
2013/04/21,15:15:46,100,"Romain Grosjean"
2013/04/14,10:09:29,150,"Romain Grosjean"
2013/03/26,16:31:20,100,"Romain Grosjean"
2013/03/24,10:06:20,80,"Romain Grosjean"
2013/03/23,10:10:40,66,"Romain Grosjean"
2013/03/22,07:05:18,50,"Romain Grosjean"
2013/03/17,07:59:54,33,"Romain Grosjean"
2013/03/01,21:54:54,40,"Romain Grosjean"
2013/03/01,20:47:22,45,"Romain Grosjean"
2012/11/25,19:14:46,50,"Romain Grosjean"
2013/05/12,15:29:14,1000,"Sergio Perez"
2013/04/21,15:27:28,300,"Sergio Perez"
2013/04/21,15:24:13,500,"Sergio Perez"
2013/04/21,15:15:50,300,"Sergio Perez"
2013/04/14,10:09:25,250,"Sergio Perez"
2013/04/12,08:56:09,150,"Sergio Perez"
2013/03/23,10:10:40,100,"Sergio Perez"
2013/03/22,12:57:28,80,"Sergio Perez"
2013/03/17,07:58:49,66,"Sergio Perez"
2013/03/17,01:07:40,25,"Sergio Perez"
2013/03/15,07:37:22,20,"Sergio Perez"
2013/03/15,06:23:57,18,"Sergio Perez"
2013/03/15,03:15:32,16,"Sergio Perez"
2013/03/04,11:12:12,14,"Sergio Perez"
2013/02/21,09:27:43,12,"Sergio Perez"
2013/02/06,12:34:57,14,"Sergio Perez"
2012/11/25,19:14:45,16,"Sergio Perez"
2013/04/14,10:09:03,2500,"Valtteri Bottas"
2013/03/17,08:01:23,1000,"Valtteri Bottas"
2013/03/17,07:59:19,750,"Valtteri Bottas"
2013/03/15,07:37:59,500,"Valtteri Bottas"
2013/03/07,16:21:45,250,"Valtteri Bottas"
2013/03/03,10:51:05,200,"Valtteri Bottas"
2013/03/02,12:01:34,150,"Valtteri Bottas"
2013/02/20,09:06:32,100,"Valtteri Bottas"
2013/02/15,16:53:04,200,"Valtteri Bottas"
2013/02/09,21:05:13,150,"Valtteri Bottas"
2013/02/07,14:33:12,125,"Valtteri Bottas"
2012/12/07,15:26:59,100,"Valtteri Bottas"
2013/10/13,08:59:41,0.0001,"Sebastian Vettel"
2013/10/13,08:59:20,0.0002,"Sebastian Vettel"
2013/10/13,08:58:56,0.0001,"Sebastian Vettel"
2013/10/13,08:58:43,1E-05,"Sebastian Vettel"
2013/10/13,08:58:39,0.0001,"Sebastian Vettel"
2013/10/06,09:39:13,0.002,"Sebastian Vettel"
2013/10/06,09:31:16,1E-05,"Sebastian Vettel"
2013/10/06,09:20:03,0.002,"Sebastian Vettel"
2013/10/06,09:08:16,1E-05,"Sebastian Vettel"
2013/10/05,07:10:49,0.004,"Sebastian Vettel"
